Team_ID,Team,Confederation,Group (Advanced/Eliminated),Stage_Reached,Matches_Played,Total_Fouls,Fouls_per_Match,Source
1,Argentina,CONMEBOL,Advanced,Runner-up,8,118,14.75,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
2,England,UEFA,Advanced,3rd place,8,102,12.75,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
3,Spain,UEFA,Advanced,Winner,8,91,11.38,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
4,Morocco,CAF,Advanced,Quarter-finals,6,86,14.33,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
5,France,UEFA,Advanced,4th place,8,84,10.5,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
6,Belgium,UEFA,Advanced,Quarter-finals,6,81,13.5,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
7,Switzerland,UEFA,Advanced,Quarter-finals,6,77,12.83,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
8,Egypt,CAF,Advanced,Round of 16,5,70,14.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
9,Canada,CONCACAF,Advanced,Round of 16,5,69,13.8,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
10,USA,CONCACAF,Advanced,Round of 16,5,64,12.8,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
11,Paraguay,CONMEBOL,Advanced,Round of 16,5,63,12.6,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
12,Colombia,CONMEBOL,Advanced,Round of 16,5,62,12.4,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
13,Brazil,CONMEBOL,Advanced,Round of 16,5,58,11.6,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
14,Norway,UEFA,Advanced,Quarter-finals,6,58,9.67,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
15,Haiti,CONCACAF,Eliminated,Group Stage,3,53,17.67,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
16,Croatia,UEFA,Advanced,Round of 32,4,50,12.5,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
17,Bosnia and Herzegovina,UEFA,Advanced,Round of 32,4,49,12.25,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
18,Mexico,CONCACAF,Advanced,Round of 16,5,49,9.8,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
19,Ecuador,CONMEBOL,Advanced,Round of 32,4,48,12.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
20,South Africa,CAF,Advanced,Round of 32,4,47,11.75,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
21,Sweden,UEFA,Advanced,Round of 32,4,47,11.75,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
22,Germany,UEFA,Advanced,Round of 32,4,44,11.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
23,Netherlands,UEFA,Advanced,Round of 32,4,44,11.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
24,Scotland,UEFA,Eliminated,Group Stage,3,44,14.67,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
25,Cape Verde,CAF,Advanced,Round of 32,4,43,10.75,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
26,Ghana,CAF,Advanced,Round of 32,4,42,10.5,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
27,Austria,UEFA,Advanced,Round of 32,4,40,10.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
28,DR Congo,CAF,Advanced,Round of 32,4,40,10.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
29,Portugal,UEFA,Advanced,Round of 16,5,40,8.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
30,Australia,AFC,Advanced,Round of 32,4,39,9.75,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
31,Saudi Arabia,AFC,Eliminated,Group Stage,3,37,12.33,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
32,Senegal,CAF,Advanced,Round of 32,4,37,9.25,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
33,Curacao,CONCACAF,Eliminated,Group Stage,3,36,12.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
34,Panama,CONCACAF,Eliminated,Group Stage,3,36,12.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
35,Tunisia,CAF,Eliminated,Group Stage,3,36,12.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
36,South Korea,AFC,Eliminated,Group Stage,3,33,11.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
37,Czechia,UEFA,Eliminated,Group Stage,3,32,10.67,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
38,Qatar,AFC,Eliminated,Group Stage,3,31,10.33,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
39,Turkey,UEFA,Eliminated,Group Stage,3,31,10.33,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
40,Ivory Coast,CAF,Advanced,Round of 32,4,30,7.5,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
41,Japan,AFC,Advanced,Round of 32,4,30,7.5,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
42,Uzbekistan,AFC,Eliminated,Group Stage,3,30,10.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
43,Algeria,CAF,Advanced,Round of 32,4,28,7.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
44,Iran,AFC,Eliminated,Group Stage,3,27,9.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
45,Iraq,AFC,Eliminated,Group Stage,3,27,9.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
46,New Zealand,OFC,Eliminated,Group Stage,3,26,8.67,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
47,Jordan,AFC,Eliminated,Group Stage,3,24,8.0,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
48,Uruguay,CONMEBOL,Eliminated,Group Stage,3,23,7.67,Ahram Online WC2026 team stats (Total_Fouls); stage reached confirmed via tournament results
