Player,Position,Passing Accuracy (%)
Nicolas Pepe,FW,85
Kamaldeen Sulemana,FW,87
Meschack Elia,FW,93
Romelu Lukaku,FW,76
Kerim Alajbegovic,FW,77
Sasa Kalajdzic,FW,67
Julio Enciso,FW,81
Ermedin Demirovic,FW,74
Hassan Alhaydos,FW,71
Jonathan David,FW,74
Abdullah Alhamddan,FW,73
Elias Saad,FW,76
Ivan Toney,FW,71
Kevin Rodriguez,FW,85
Juergen Locadia,FW,77
Lautaro Martinez,FW,85
Yan Diomande,FW,89
Taha Ali,FW,94
Ollie Watkins,FW,90
Zeki Amdouni,FW,73
Joao Felix,FW,78
Erling Haaland,FW,72
Jaminton Campaz,FW,67
Rafael Leao,FW,87
Thapelo Maseko,FW,76
Odeh Fakhoury,FW,81
Denis Visinsky,FW,100
Wilson Isidor,FW,86
Anis Hadj Moussa,FW,69
Oh Hyeongyu,FW,68
