Player,Position,Passing Accuracy (%)
Cristian Martinez,MF,73
Lamine Camara,MF,89
Fares Chaibi,MF,90
Jayden Adams,MF,91
Thomas Partey,MF,88
Martin Odegaard,MF,88
Kendry Paez,MF,90
Pape Gueye,MF,86
Youri Tielemans,MF,87
Kwasi Sibo,MF,95
Ruben Neves,MF,93
Zaid Ismael,MF,89
Saman Ghoddos,MF,70
Ivan Basic,MF,92
Ismael Gharbi,MF,97
Lucas Paqueta,MF,85
Alexandr Sojka,MF,80
Tyler Adams,MF,91
Fabian Rieder,MF,82
Damian Bobadilla,MF,75
Saeid Ezatolahi,MF,79
Musab Aljuwayr,MF,81
Miguel Almiron,MF,73
Jhon Arias,MF,95
Daichi Kamada,MF,85
Amar Memic,MF,75
Teboho Mokoena,MF,90
Connor Metcalfe,MF,81
Paul Wanner,MF,85
Diego Gomez,MF,79
