Player,country,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,age_group
Camilo Vargas,Colombia,37,1989,5,5,480,5.3,1,0.19,7,6,85.7,4,80,older
Orlando Mosquera,Panama,31,1994,3,3,270,3,4,1.33,11,7,63.6,0,0,older
Johny Placide,Haiti,38,1988,3,3,270,3,8,2.67,19,11,57.9,0,0,older
Fernando Muslera,Uruguay,39,1986,3,3,225,2.5,4,1.6,8,4,50,0,0,older
Max Crocombe,New Zealand,32,1993,3,3,270,3,10,3.33,21,11,52.4,0,0,older
Mory Diaw,Senegal,32,1993,3,2,238,2.6,3,1.13,7,4,57.1,1,50,older
Ronwen Williams,South Africa,34,1992,4,4,360,4,4,1,15,11,73.3,1,25,older
Eloy Room,Curaçao,37,1989,3,3,270,3,9,3,29,20,69,1,33.3,older
Dominik Livaković,Croatia,31,1995,4,4,360,4,7,1.75,17,10,58.8,1,25,older
Yazeed Abulaila,Jordan,33,1993,3,3,270,3,8,2.67,16,8,50,0,0,older
Oussama Benbot,Algeria,31,1994,1,1,90,1,3,3,3,0,0,0,0,older
Lionel Mpasi,Congo DR,31,1994,4,4,360,4,5,1.25,19,14,73.7,0,0,older
Yassine Bounou,Morocco,35,1991,6,6,570,6.3,6,0.95,20,14,70,2,33.3,older
Emiliano Martínez,Argentina,33,1992,8,8,810,9,8,0.89,28,20,71.4,2,25,older
Jalal Hassan,Iraq,35,1991,2,1,135,1.5,8,5.33,16,8,50,0,0,older
Matt Freese,USA,27,1998,4,4,360,4,5,1.25,13,8,61.5,2,50,younger
Bart Verbruggen,Netherlands,23,2002,4,4,390,4.3,5,1.15,21,16,76.2,0,0,younger
Yahia Fofana,Côte d'Ivoire,25,2000,4,4,360,4,4,1,13,9,69.2,2,50,younger
Mostafa Shobeir,Egypt,26,2000,5,5,480,5.3,7,1.31,19,12,63.2,0,0,younger
Mahmoud Abunada,Qatar,26,2000,3,3,270,3,10,3.33,22,12,54.5,0,0,younger
Dean Henderson,England,29,1997,1,1,90,1,4,4,9,5,55.6,0,0,younger
Abduvohid Nematov,Uzbekistan,25,2001,2,2,180,2,8,4,13,5,38.5,0,0,younger
Unai Simón,Spain,29,1997,8,8,750,8.3,1,0.12,11,9,90.9,7,87.5,younger
Angus Gunn,Scotland,30,1996,3,3,270,3,4,1.33,12,8,66.7,1,33.3,younger
Gregor Kobel,Switzerland,28,1997,6,6,600,6.7,6,0.9,26,20,76.9,2,33.3,younger
Senne Lammens,Belgium,23,2002,1,0,20,0.2,1,4.5,3,2,66.7,0,,younger
Lawrence Ati-Zigi,Ghana,29,1996,2,2,135,1.5,1,0.67,9,8,88.9,1,50,younger
Uğurcan Çakır,Türkiye,30,1996,3,3,270,3,5,1.67,13,8,61.5,0,0,younger
Mouhib Chamakh,Tunisia,24,2001,1,1,90,1,5,5,6,1,16.7,0,0,younger
Ahmed Basil,Iraq,29,1996,2,2,135,1.5,4,2.67,7,3,42.9,0,0,younger
