Player,country,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%
Yazeed Abulaila,Jordan,33,1993,3,3,270,3.0,8,2.67,16,8,50.0,0,0.0
Mahmoud Abunada,Qatar,26,2000,3,3,270,3.0,10,3.33,22,12,54.5,0,0.0
Alisson,Brazil,33,1992,5,5,450,5.0,4,0.8,18,14,77.8,2,40.0
Benjamin Asare,Ghana,33,1992,3,2,225,2.5,2,0.8,10,8,80.0,2,100.0
Lawrence Ati-Zigi,Ghana,29,1996,2,2,135,1.5,1,0.67,9,8,88.9,1,50.0
Ahmed Basil,Iraq,29,1996,2,2,135,1.5,4,2.67,7,3,42.9,0,0.0
Patrick Beach,Australia,22,2003,4,4,388,4.3,3,0.7,17,14,82.4,2,50.0
Alireza Beiranvand,IR Iran,33,1992,3,3,270,3.0,3,1.0,18,15,83.3,1,33.3
Oussama Benbot,Algeria,31,1994,1,1,90,1.0,3,3.0,3,0,0.0,0,0.0
Yassine Bounou,Morocco,35,1991,6,6,570,6.3,6,0.95,20,14,70.0,2,33.3
Uğurcan Çakır,Türkiye,30,1996,3,3,270,3.0,5,1.67,13,8,61.5,0,0.0
Mouhib Chamakh,Tunisia,24,2001,1,1,90,1.0,5,5.0,6,1,16.7,0,0.0
Diogo Costa,Portugal,26,1999,5,5,450,5.0,3,0.6,22,19,86.4,2,40.0
Thibaut Courtois,Belgium,34,1992,6,6,550,6.1,6,0.98,20,14,70.0,1,16.7
Maxime Crépeau,Canada,32,1994,5,5,450,5.0,6,1.2,12,6,50.0,2,40.0
Max Crocombe,New Zealand,32,1993,3,3,270,3.0,10,3.33,21,11,52.4,0,0.0
Aymen Dahmen,Tunisia,29,1997,2,2,180,2.0,7,3.5,12,5,41.7,0,0.0
Mory Diaw,Senegal,32,1993,3,2,238,2.6,3,1.13,7,4,57.1,1,50.0
Yahia Fofana,Côte d'Ivoire,25,2000,4,4,360,4.0,4,1.0,13,9,69.2,2,50.0
Matt Freese,USA,27,1998,4,4,360,4.0,5,1.25,13,8,61.5,2,50.0
Hernán Galíndez,Ecuador,39,1987,4,4,360,4.0,4,1.0,13,9,69.2,1,25.0
Orlando Gill,Paraguay,26,2000,5,5,480,5.3,6,1.13,29,23,79.3,2,40.0
Angus Gunn,Scotland,30,1996,3,3,270,3.0,4,1.33,12,8,66.7,1,33.3
Jalal Hassan,Iraq,35,1991,2,1,135,1.5,8,5.33,16,8,50.0,0,0.0
Dean Henderson,England,29,1997,1,1,90,1.0,4,4.0,9,5,55.6,0,0.0
Gregor Kobel,Switzerland,28,1997,6,6,600,6.7,6,0.9,26,20,76.9,2,33.3
Matej Kovar,Czechia,26,2000,3,3,270,3.0,6,2.0,15,9,60.0,0,0.0
Senne Lammens,Belgium,23,2002,1,0,20,0.2,1,4.5,3,2,66.7,0,
Dominik Livaković,Croatia,31,1995,4,4,360,4.0,7,1.75,17,10,58.8,1,25.0
Mike Maignan,France,30,1995,8,8,720,8.0,10,1.25,22,12,54.5,4,50.0
Emiliano Martínez,Argentina,33,1992,8,8,810,9.0,8,0.89,28,20,71.4,2,25.0
Édouard Mendy,Senegal,34,1992,2,2,152,1.7,6,3.55,14,8,57.1,0,0.0
Orlando Mosquera,Panama,31,1994,3,3,270,3.0,4,1.33,11,7,63.6,0,0.0
Lionel Mpasi,Congo DR,31,1994,4,4,360,4.0,5,1.25,19,14,73.7,0,0.0
Fernando Muslera,Uruguay,39,1986,3,3,225,2.5,4,1.6,8,4,50.0,0,0.0
Abduvohid Nematov,Uzbekistan,25,2001,2,2,180,2.0,8,4.0,13,5,38.5,0,0.0
Manuel Neuer,Germany,40,1986,4,4,390,4.3,5,1.15,10,5,50.0,0,0.0
Kristoffer Nordfeldt,Sweden,36,1989,2,2,180,2.0,6,3.0,9,3,33.3,0,0.0
Ørjan Nyland,Norway,35,1990,5,5,480,5.3,7,1.31,22,15,68.2,0,0.0
Mohammed Al-Owais,Saudi Arabia,34,1991,3,3,270,3.0,5,1.67,21,16,76.2,1,33.3
Jordan Pickford,England,32,1994,7,7,660,7.3,8,1.09,23,15,65.2,2,28.6
Johny Placide,Haiti,38,1988,3,3,270,3.0,8,2.67,19,11,57.9,0,0.0
Raúl Rangel,Mexico,26,2000,5,5,437,4.9,3,0.62,11,8,72.7,4,80.0
Eloy Room,Curaçao,37,1989,3,3,270,3.0,9,3.0,29,20,69.0,1,33.3
Alexander Schlager,Austria,30,1996,4,4,360,4.0,9,2.25,22,13,59.1,0,0.0
Egil Selvik,Norway,28,1997,1,1,90,1.0,4,4.0,9,5,55.6,0,0.0
Kim Seung-gyu,Korea Republic,35,1990,3,3,270,3.0,3,1.0,12,9,75.0,0,0.0
Mostafa Shobeir,Egypt,26,2000,5,5,480,5.3,7,1.31,19,12,63.2,0,0.0
Unai Simón,Spain,29,1997,8,8,750,8.3,1,0.12,11,9,90.9,7,87.5
Zion Suzuki,Japan,23,2002,4,4,360,4.0,5,1.25,17,12,70.6,1,25.0
Matt Turner,USA,31,1994,1,1,90,1.0,3,3.0,3,0,0.0,0,0.0
Camilo Vargas,Colombia,37,1989,5,5,480,5.3,1,0.19,7,6,85.7,4,80.0
Nikola Vasilj,Bosnia–Herz,30,1995,4,4,360,4.0,8,2.0,14,6,42.9,0,0.0
Bart Verbruggen,Netherlands,23,2002,4,4,390,4.3,5,1.15,21,16,76.2,0,0.0
Vozinha,Cabo Verde,40,1986,4,4,390,4.3,5,1.15,23,18,78.3,2,50.0
Jacob Widell Zetterström,Sweden,27,1998,2,2,180,2.0,4,2.0,15,11,73.3,0,0.0
Ronwen Williams,South Africa,34,1992,4,4,360,4.0,4,1.0,15,11,73.3,1,25.0
Utkir Yusupov,Uzbekistan,35,1991,1,1,90,1.0,3,3.0,4,1,25.0,0,0.0
Luca Zidane,Algeria,28,1998,3,3,270,3.0,6,2.0,14,8,57.1,0,0.0
