Player,Squad,MP,Min,Save%,Team_Max_Matches,Stage
Nikola Vasilj,ba Bosnia–Herz,4,360,42.9,4,Knockout Stage
Dominik Livaković,hr Croatia,4,360,58.8,4,Knockout Stage
Jordan Pickford,eng England,7,660,65.2,7,Knockout Stage
Diogo Costa,pt Portugal,5,450,86.4,5,Knockout Stage
Lionel Mpasi,cd Congo DR,4,360,73.7,4,Knockout Stage
Hernán Galíndez,ec Ecuador,4,360,69.2,4,Knockout Stage
Alisson,br Brazil,5,450,77.8,5,Knockout Stage
Matt Turner,us USA,1,90,0.0,4,Knockout Stage
Egil Selvik,no Norway,1,90,55.6,5,Knockout Stage
Alexander Schlager,at Austria,4,360,59.1,4,Knockout Stage
Matt Freese,us USA,4,360,61.5,4,Knockout Stage
Yahia Fofana,ci Côte d'Ivoire,4,360,69.2,4,Knockout Stage
Zion Suzuki,jp Japan,4,360,70.6,4,Knockout Stage
Unai Simón,es Spain,8,750,90.9,8,Knockout Stage
Dean Henderson,eng England,1,90,55.6,7,Knockout Stage
Mike Maignan,fr France,8,720,54.5,8,Knockout Stage
Gregor Kobel,ch Switzerland,6,600,76.9,6,Knockout Stage
Raúl Rangel,mx Mexico,5,437,72.7,5,Knockout Stage
Manuel Neuer,de Germany,4,390,50.0,4,Knockout Stage
Camilo Vargas,co Colombia,5,480,85.7,5,Knockout Stage
Emiliano Martínez,ar Argentina,8,810,71.4,8,Knockout Stage
Ørjan Nyland,no Norway,5,480,68.2,5,Knockout Stage
Mostafa Shobeir,eg Egypt,5,480,63.2,5,Knockout Stage
Bart Verbruggen,nl Netherlands,4,390,76.2,4,Knockout Stage
Ronwen Williams,za South Africa,4,360,73.3,4,Knockout Stage
